,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
341,C=CC(CCC)Cc1ccccc1CCC(O)C=CCCC(=C)Cc1ccccc1CCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e0961679e0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",35,Generation_10_Molecule_341,-0.00000,472.757,<rdkit.Chem.rdchem.Mol object at 0x14e0961682e0>,,,,,,,,,,,,
342,CC=CC(CC)CCC(CC)CCCCCCCC=CCCCCCCC(=O)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e096167ac0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",31,Generation_10_Molecule_342,-0.00000,432.777,<rdkit.Chem.rdchem.Mol object at 0x14e096167270>,,,,,,,,,,,,
343,CCCCCCCCCCC=CCCCCCc1cccc(CCCCCCCC(CC)CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e096167d60>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",36,Generation_10_Molecule_343,-0.00000,496.90799999999996,<rdkit.Chem.rdchem.Mol object at 0x14e0961d6510>,,,,,,,,,,,,
344,CCCCCCCCCC=CCCCCCCCC=CCCCC(CC)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e096167eb0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",29,Generation_10_Molecule_344,-0.00000,404.76699999999994,<rdkit.Chem.rdchem.Mol object at 0x14e096167c80>,,,,,,,,,,,,
345,CCCCCC(CC)CCCCCCCC(CCc1cc(CCC)ccc1O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x14e096167f20>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",31,Generation_10_Molecule_345,-0.00000,432.689,<rdkit.Chem.rdchem.Mol object at 0x14e09615f0b0>,,,,,,,,,,,,
346,CCCCOC(CC)CCC(=O)CCCC(CO)CCc1cccc(CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e096172190>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",29,Generation_10_Molecule_346,-0.00000,404.63500000000005,<rdkit.Chem.rdchem.Mol object at 0x14e096167dd0>,,,,,,,,,,,,
347,CC=C(CCC)CCCC=CCCCCCCCC=CCC=CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e096172270>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",30,Generation_10_Molecule_347,-0.00000,414.762,<rdkit.Chem.rdchem.Mol object at 0x14e09615f270>,,,,,,,,,,,,
348,C=CC(CCCCCCc1cccc(CCCCCCC(CCC)OC)c1)CCc1ccccc1C,<rdkit.Chem.rdchem.Mol object at 0x14e0961723c0>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",36,Generation_10_Molecule_348,-0.00000,490.81600000000003,<rdkit.Chem.rdchem.Mol object at 0x14e09615f4a0>,,,,,,,,,,,,
349,C=CC(CC)CCCCCCCCCCCCC(C=C)CCc1ccccc1C,<rdkit.Chem.rdchem.Mol object at 0x14e096167a50>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",29,Generation_10_Molecule_349,-0.00000,396.703,<rdkit.Chem.rdchem.Mol object at 0x14e096172040>,,,,,,,,,,,,
350,C=CC(CC)CCCCCCCCCCCC=CCCCCCCCCOC,<rdkit.Chem.rdchem.Mol object at 0x14e096167cf0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",28,Generation_10_Molecule_350,-0.00000,392.712,<rdkit.Chem.rdchem.Mol object at 0x14e096167b30>,,,,,,,,,,,,
351,CCCCCCCCCCC=CCCCCCCCCCCC(CC)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e096172200>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",28,Generation_10_Molecule_351,-0.00000,392.756,<rdkit.Chem.rdchem.Mol object at 0x14e096167e40>,,,,,,,,,,,,
352,CCCCOC(CC)CCCCCCCC(CO)CCc1cccc(CC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e096172740>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",28,Generation_10_Molecule_352,-0.00000,390.652,<rdkit.Chem.rdchem.Mol object at 0x14e0961725f0>,,,,,,,,,,,,
353,CCCCCC(CCCC(CC)CCCCCc1ccccc1CCO)C(O)CC,<rdkit.Chem.rdchem.Mol object at 0x14e0961724a0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",30,Generation_10_Molecule_353,-0.00000,418.70599999999996,<rdkit.Chem.rdchem.Mol object at 0x14e0961c7a50>,,,,,,,,,,,,
354,CCCCCC(CC)CCOCCCCC(CO)CCc1cccc(CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e0961726d0>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",29,Generation_10_Molecule_354,-0.00000,404.679,<rdkit.Chem.rdchem.Mol object at 0x14e0961dd350>,,,,,,,,,,,,
