,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
249,C=COCC(=C)C,<rdkit.Chem.rdchem.Mol object at 0x000001C589624270>,"['ReplaceBond', 'RemoveAtom', 'AddAtom']",7,Generation_7_Molecule_249,-0.11500,98.145,<rdkit.Chem.rdchem.Mol object at 0x000001C589624040>,18023,,,,,,,,,,,
250,CCC(CCCC=CO)COC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613BC0>,"['ReplaceAtom', 'ReplaceBond', 'AddAtom']",12,Generation_7_Molecule_250,0.10000,172.26799999999997,<rdkit.Chem.rdchem.Mol object at 0x000001C5895F1770>,3043,,,,,,,,,,,
251,C=C(C)C=CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896243C0>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",8,Generation_7_Molecule_251,0.04500,110.19999999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589624190>,2116,,,,,,,,,,,
252,C=C(CC)COCCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589624580>,"['ReplaceAtom', 'ReplaceAtom', 'RemoveAtom']",9,Generation_7_Molecule_252,-0.00000,130.18699999999998,<rdkit.Chem.rdchem.Mol object at 0x000001C589624430>,30143,,,,,,,,,,,
253,C=C(C)COCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896244A0>,"['AddAtom', 'AddFragment', 'AddFragment']",11,Generation_7_Molecule_253,0.00000,156.26899999999998,<rdkit.Chem.rdchem.Mol object at 0x000001C5896242E0>,24334,,,,,,,,,,,
254,CCCCCCCCOCC=O,<rdkit.Chem.rdchem.Mol object at 0x000001C589624740>,"['AddAtom', 'RemoveAtom', 'AddFragment']",12,Generation_7_Molecule_254,0.06000,172.26799999999997,<rdkit.Chem.rdchem.Mol object at 0x000001C589624200>,33605,,,,,,,,,,,
255,C=CC(C)C(O)O,<rdkit.Chem.rdchem.Mol object at 0x000001C5896247B0>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",7,Generation_7_Molecule_255,-0.26500,102.133,<rdkit.Chem.rdchem.Mol object at 0x000001C5896245F0>,5192,,,,,,,,,,,
256,C=CC(C)(C)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589624820>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",8,Generation_7_Molecule_256,-0.00000,112.216,<rdkit.Chem.rdchem.Mol object at 0x000001C589624660>,10614,,,,,,,,,,,
257,CCC=CC(=O)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589624900>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",8,Generation_7_Molecule_257,0.04500,112.172,<rdkit.Chem.rdchem.Mol object at 0x000001C5896246D0>,7997,,,,,,,,,,,
258,C=CCCCCCOCCOC,<rdkit.Chem.rdchem.Mol object at 0x000001C589624AC0>,"['AddAtom', 'RemoveAtom', 'AddFragment']",12,Generation_7_Molecule_258,0.04500,172.26799999999997,<rdkit.Chem.rdchem.Mol object at 0x000001C5896249E0>,23160,,,,,,,,,,,
259,CC=CCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589624C80>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",5,Generation_7_Molecule_259,-0.00000,72.107,<rdkit.Chem.rdchem.Mol object at 0x000001C589624890>,78,,,,,,,,,,,
260,C=C(C)CC(=O)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589624B30>,"['ReplaceAtom', 'RemoveAtom', 'RemoveAtom']",9,Generation_8_Molecule_260,-0.00000,126.19899999999998,<rdkit.Chem.rdchem.Mol object at 0x000001C589612340>,39054,,,,,,,,,,,
261,CCC(C=O)=CCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589624A50>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",8,Generation_8_Molecule_261,-0.00000,114.144,<rdkit.Chem.rdchem.Mol object at 0x000001C589624970>,2084,,,,,,,,,,,
262,CCC(O)C(=O)C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x000001C589624CF0>,"['ReplaceBond', 'ReplaceAtom', 'RemoveAtom']",9,Generation_8_Molecule_262,-0.00000,130.143,<rdkit.Chem.rdchem.Mol object at 0x000001C589624510>,944,,,,,,,,,,,
263,CCCCCCCOCC=O,<rdkit.Chem.rdchem.Mol object at 0x000001C589624EB0>,"['AddAtom', 'RemoveAtom', 'AddFragment']",11,Generation_8_Molecule_263,0.06000,158.24099999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589624C10>,32407,,,,,,,,,,,
264,CC=CCCCC(CC)CCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589624F90>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",12,Generation_8_Molecule_264,0.00000,170.29599999999996,<rdkit.Chem.rdchem.Mol object at 0x000001C589613920>,30254,,,,,,,,,,,
265,C=C(OC)OCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589624350>,"['ReplaceBond', 'AddAtom', 'AddAtom']",7,Generation_8_Molecule_265,Atom 13 does not have an assigned atom type!,102.133,<rdkit.Chem.rdchem.Mol object at 0x000001C589624BA0>,35418,,,,,,,,,,,
